iter	Passed	Remaining
419	982	187
420	986	185
421	988	182
422	992	180
423	995	178
424	997	175
425	1000	173
426	1002	171
427	1005	169
428	1007	166
429	1009	164
430	1011	161
431	1014	159
432	1018	157
433	1021	155
434	1023	152
435	1025	150
436	1027	148
437	1029	145
438	1031	143
439	1033	140
440	1036	138
441	1038	136
442	1040	133
443	1042	131
444	1044	129
445	1046	126
446	1048	124
447	1050	121
448	1053	119
449	1057	117
450	1058	115
451	1062	112
452	1064	110
453	1065	107
454	1067	105
455	1069	103
456	1071	100
457	1073	98
458	1075	96
459	1077	93
460	1081	91
461	1083	89
462	1085	86
463	1087	84
464	1089	82
465	1092	79
466	1094	77
467	1097	75
468	1099	72
469	1101	70
470	1103	67
471	1105	65
472	1107	63
473	1109	60
474	1111	58
475	1114	56
476	1116	53
477	1119	51
478	1121	49
479	1122	46
480	1124	44
481	1126	42
482	1129	39
483	1131	37
484	1135	35
485	1138	32
486	1141	30
487	1143	28
488	1145	25
489	1147	23
490	1149	21
491	1152	18
492	1156	16
493	1158	14
494	1160	11
495	1163	9
496	1165	7
497	1167	4
498	1170	2
499	1172	0
